name_date,vmax
TRUDY_2014-10-18,2.966064453125
RAMON_2017-10-04,1.75244140625
UNNAMED_2011-10-12,0.89794921875
PAULINE_1997-10-08,4.041259765625
KAREN_2013-10-03,1.928466796875
UNNAMED_2004-10-25,1.9970703125
ROSA_2018-10-01,5.196533203125
MAX_2023-10-09,3.064208984375
PAUL_2006-10-25,1.772705078125
PRISCILLA_2019-10-20,1.13037109375
MADELINE_1998-10-18,3.43994140625
MICHAEL_2018-10-07,1.56640625
STAN_2005-10-04,4.1827392578125
MARCO_2008-10-07,0.361328125
RICHARD_2010-10-25,1.964111328125
MILTON_2024-10-07,4.341796875
KEITH_1988-11-21,2.091552734375
SONIA_2013-11-04,1.86962890625
RICK_1997-11-09,3.24169921875
LISA_2022-11-02,2.74560546875
OLGA_2007-12-15,2.292236328125
LESTER_1992-08-23,3.896484375
HILARY_2023-08-20,9.691162109375
BONNIE_2004-08-09,1.26318359375
HAROLD_2023-08-22,0.0
FRANK_1998-08-09,1.800537109375
BRET_1999-08-22,3.809814453125
ERIKA_2003-08-16,2.822998046875
UNNAMED_2022-08-20,1.009033203125
UNNAMED_1994-08-30,0.547607421875
ILEANA_2018-08-06,3.33740234375
EARL_2016-08-04,6.6502685546875
HARVEY_2011-08-20,1.021484375
BERYL_2000-08-14,0.8828125
HILARY_1993-08-25,1.772705078125
JULIETTE_2013-08-29,1.3291015625
JOHN_2006-08-30,3.483642578125
IDALIA_2023-08-27,1.0394287109375
LIDIA_2017-08-31,5.37060546875
FRANKLIN_2017-08-10,4.283935546875
JAVIER_2016-08-08,1.5908203125
JULIO_2008-08-24,1.935791015625
NORA_2021-08-28,5.162109375
HERNAN_2020-08-27,2.027099609375
GABRIELLE_1995-08-11,0.896728515625
HELENE_2012-08-17,0.629638671875
DOLLY_1996-08-23,4.6832275390625
HARVEY_2017-08-22,0.94140625
